model_name,global_best_conf,map50,map75,map50_95,f1_f1_50,f1_f1_75,precision_50,precision_75,recall_50,recall_75
eval_fao_layout_3_stg2,0.675,0.8567165473777011,0.8075419679586334,0.7165678933282558,0.9107855354567029,0.8725764227908226,0.9227303946894908,0.88383735154217,0.9034755394498435,0.8657552297809257
eval_fao_layout_0_public_data,0.784,0.4953234252512233,0.44070109657555123,0.39048998569864174,0.6666674646045055,0.6258434837056054,0.8222534817180824,0.7573483895879789,0.6179102838631747,0.5810684675781036
eval_fao_layout_3_stg1,0.687,0.8509025979489003,0.8017169551062443,0.7061445062154897,0.908127987282574,0.8709702267015683,0.9246071842698865,0.8864643562863375,0.8973260857629166,0.8608686103332784
eval_fao_layout_3_cross_val_train_1_3_test_2,0.6890000000000001,0.9235717881148767,0.8877352703220961,0.7978642932654246,0.9513293492864351,0.9248011409211808,0.955688069227571,0.9290323364984475,0.9492670070828529,0.9228023938944709
eval_fao_layout_1,0.59,0.8043367826123429,0.7421224293047501,0.6533812923191402,0.8780942880658987,0.8343193567128058,0.8916176940436084,0.8467840413701703,0.8665239114917915,0.8236973590292648
eval_fao_layout_3_cross_val_train_1_2_test_3,0.633,0.9285395670856731,0.894315966880386,0.8037579851545429,0.9509639304333496,0.92513145713021,0.9490505715956248,0.9231892264355528,0.9530006039642014,0.9271948608137045
eval_fao_layout_2,0.6990000000000001,0.8486334452496115,0.7991388165160567,0.705305088185247,0.9080928656141155,0.8689535711203847,0.9263394568097971,0.8860311789315054,0.8952396639762806,0.8570252017789491
